Date,Close/Last,COMP,NATS,MSCI
5/30/2024,10205.24,16737.08,1633.19,4983.64
5/29/2024,10396.4,16920.58,1733.33,5014.18
5/28/2024,10526.85,17019.88,1739.75,5051.64
5/24/2024,10549.22,16920.79,1751.27,5051.83
5/23/2024,10495.82,16736.03,1770.08,5016.81
5/22/2024,10568.8,16801.54,1784.41,5055.16
5/21/2024,10507.1,16832.62,1787.15,5070.03
5/20/2024,10554.51,16794.87,1800.16,5059.09
5/17/2024,10419.3,16685.97,1782.24,5053.45
5/16/2024,10436.75,16698.32,1773.34,5047.17
5/15/2024,10454.29,16742.39,1778.01,5058.34
5/14/2024,10213.48,16511.18,1734.31,4998.19
5/13/2024,10140.59,16388.24,1723.35,4973.39
5/10/2024,10090.34,16340.87,1721.01,4974.98
5/9/2024,10038.43,16346.26,1714.57,4967.82
5/8/2024,10061.81,16302.76,1716.62,4942.78
5/7/2024,10076.02,16332.56,1722.9,4943.72
5/6/2024,10112.97,16349.25,1732.78,4938.83
5/3/2024,9982.19,16156.33,1707.68,4887.17
5/2/2024,9840.5,15840.96,1687.45,4827.77
5/1/2024,9692.12,15605.48,1670.23,4782.12
4/30/2024,9845.68,15657.82,1668.64,4797.68
4/29/2024,10039.64,15983.08,1712.31,4875.69
4/26/2024,10055.63,15927.9,1715.86,4859.58
4/25/2024,9893.93,15611.76,1698.56,4809.72
4/24/2024,9895.33,15712.75,1714.21,4830.9
4/23/2024,9828.82,15696.64,1713.34,4830.04
4/22/2024,9631.73,15451.31,1680.92,4770.6
4/19/2024,9500.55,15282.01,1662.69,4729.08
4/18/2024,9716.7,15601.5,1682.16,4771.97
4/17/2024,9816.78,15683.37,1694.87,4782.78
4/16/2024,10010.93,15865.25,1709.95,4811.77
4/15/2024,9976.72,15885.02,1704.54,4821.68
4/12/2024,10162.06,16175.09,1752.79,4882.91
4/11/2024,10419.72,16442.2,1783.09,4956.47
4/10/2024,10243.23,16170.36,1771.26,4919.59
4/9/2024,10400.32,16306.64,1793.98,4966.5
4/8/2024,10309.02,16253.96,1789.32,4959.76
4/5/2024,10306.57,16248.52,1784.56,4960.81
4/4/2024,10172.51,16049.08,1763.48,4905.74
4/3/2024,10372.26,16277.46,1785.54,4966.84
4/2/2024,10348.49,16240.45,1782.46,4960.61
4/1/2024,10463.7,16396.83,1801.56,4997.36
3/28/2024,10420.33,16379.46,1809,5008.17
3/27/2024,10427.4,16399.52,1811.05,5003.15
3/26/2024,10373.65,16315.7,1820.82,4962.18
3/25/2024,10388.22,16384.47,1817.41,4975.28
3/22/2024,10444.17,16428.82,1822.39,4989.14
3/21/2024,10472.44,16401.84,1835.42,4996.98
3/20/2024,10372.62,16369.41,1823.25,4979.53
3/19/2024,10224.57,16166.79,1804.3,4934.06
3/18/2024,10221.21,16103.45,1791.78,4906.9
3/15/2024,10146.99,15973.17,1770.31,4876.35
3/14/2024,10298.42,16128.53,1821.1,4908.92
3/13/2024,10391.86,16177.77,1831.11,4925.4
3/12/2024,10530.35,16265.64,1844,4934.2
3/11/2024,10359.64,16019.27,1802.95,4879.68
3/8/2024,10415.33,16085.11,1799.37,4886.04
3/7/2024,10686.65,16273.38,1810.14,4919.01
3/6/2024,10475.54,16031.54,1787.39,4868.14
3/5/2024,10332.76,15939.59,1762.28,4841.42
3/4/2024,10606.42,16207.51,1834.31,4893.49
3/1/2024,10606.23,16274.94,1840.06,4898.48
2/29/2024,10411.78,16091.92,1824.46,4859.23
2/28/2024,10257.58,15947.74,1808.07,4833.73
2/27/2024,10347.51,16035.3,1812.45,4842.24
2/26/2024,10329.92,15976.25,1809.82,4833.36
2/23/2024,10265.71,15996.82,1792.01,4849.54
2/22/2024,10306.18,16041.62,1783.26,4849.02
2/21/2024,9939.39,15580.87,1736.95,4747.73
2/20/2024,10122.3,15630.78,1788.95,4744.28
